Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Close Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1,Disaster,05/02/1953,GA,,Tornado,Tornado,05/02/1953,05/02/1953,06/01/1954,Yes,No,Yes,Yes
DR-2,Disaster,05/15/1953,TX,,Tornado,Tornado and Heavy Rainfall,05/15/1953,05/15/1953,01/01/1958,Yes,No,Yes,Yes
DR-3,Disaster,05/29/1953,LA,,Flood,Flood,05/29/1953,05/29/1953,02/01/1960,Yes,No,Yes,Yes
DR-4,Disaster,06/02/1953,MI,,Tornado,Tornado,06/02/1953,06/02/1953,02/01/1956,Yes,No,Yes,Yes
DR-5,Disaster,06/06/1953,MT,,Flood,Floods,06/06/1953,06/06/1953,12/01/1955,Yes,No,Yes,Yes
DR-6,Disaster,06/09/1953,MI,,Tornado,Tornado,06/09/1953,06/09/1953,03/30/1956,Yes,No,Yes,Yes
DR-7,Disaster,06/11/1953,MA,,Tornado,Tornado,06/11/1953,06/11/1953,06/01/1956,Yes,No,Yes,Yes
DR-8,Disaster,06/11/1953,IA,,Flood,Flood,06/11/1953,06/11/1953,11/01/1955,Yes,No,Yes,Yes
DR-9,Disaster,06/19/1953,TX,,Flood,Flood,06/19/1953,06/19/1953,01/01/1958,Yes,No,Yes,Yes
DR-11,Disaster,07/02/1953,NH,,Fire,Forest Fire,07/02/1953,07/02/1953,02/01/1956,Yes,No,Yes,Yes
DR-12,Disaster,10/22/1953,FL,,Flood,Flood,10/22/1953,10/22/1953,05/01/1956,Yes,No,Yes,Yes
DR-13,Disaster,10/30/1953,AK,,Other,Severe Hardship,10/30/1953,10/30/1953,09/01/1957,Yes,No,Yes,Yes
DR-14,Disaster,12/06/1953,MS,,Tornado,Tornado,12/06/1953,12/06/1953,06/01/1956,Yes,No,Yes,Yes
DR-15,Disaster,02/05/1954,CA,,Flood,Flood and Erosion,02/05/1954,02/05/1954,09/01/1957,Yes,No,Yes,Yes
DR-16,Disaster,03/17/1954,GA,,Tornado,Tornado,03/17/1954,03/17/1954,11/01/1956,Yes,No,Yes,Yes
DR-17,Disaster,06/23/1954,IA,,Flood,Flood,06/23/1954,06/23/1954,02/01/1956,Yes,No,Yes,Yes
DR-18,Disaster,07/01/1954,TX,,Flood,Flood,07/01/1954,07/01/1954,07/01/1959,Yes,No,Yes,Yes
DR-19,Disaster,07/14/1954,NV,,Earthquake,Earthquake,07/14/1954,07/14/1954,08/01/1957,Yes,No,Yes,Yes
DR-20,Disaster,07/31/1954,SD,,Flood,Flood,07/31/1954,07/31/1954,02/01/1956,Yes,No,Yes,Yes
DR-21,Disaster,08/04/1954,WV,,Flood,Flood,08/04/1954,08/04/1954,05/01/1957,Yes,No,Yes,Yes
DR-22,Disaster,09/02/1954,MA,,Hurricane,Hurricanes,09/02/1954,09/02/1954,12/01/1956,Yes,No,Yes,Yes
DR-23,Disaster,09/02/1954,RI,,Hurricane,Hurricanes,09/02/1954,09/02/1954,12/01/1956,Yes,No,Yes,Yes
DR-24,Disaster,09/13/1954,ME,,Hurricane,Hurricanes,09/13/1954,09/13/1954,12/01/1956,Yes,No,Yes,Yes
DR-25,Disaster,09/17/1954,CT,,Hurricane,Hurricanes,09/17/1954,09/17/1954,01/01/1957,Yes,No,Yes,Yes
DR-26,Disaster,10/07/1954,NY,,Hurricane,Hurricanes,10/07/1954,10/07/1954,12/01/1956,Yes,No,Yes,Yes
DR-27,Disaster,10/13/1954,NM,,Flood,Flood,10/13/1954,10/13/1954,12/01/1959,Yes,No,Yes,Yes
DR-28,Disaster,10/17/1954,NC,,Hurricane,Hurricane,10/17/1954,10/17/1954,01/01/1959,Yes,No,Yes,Yes
DR-29,Disaster,10/17/1954,SC,,Hurricane,Hurricane,10/17/1954,10/17/1954,01/01/1959,Yes,No,Yes,Yes
DR-30,Disaster,10/26/1954,IN,,Flood,Flood,10/26/1954,10/26/1954,03/01/1956,Yes,No,Yes,Yes
DR-31,Disaster,11/10/1954,AK,,Other,Severe Hardship,11/10/1954,11/10/1954,09/01/1957,Yes,No,Yes,Yes
DR-32,Disaster,04/01/1955,HI,,Volcano,Volcano,04/01/1955,04/01/1955,06/01/1957,Yes,No,Yes,Yes
DR-33,Disaster,05/25/1955,CO,,Flood,Flood,05/25/1955,05/25/1955,04/01/1957,Yes,No,Yes,Yes
DR-34,Disaster,05/27/1955,KS,,Tornado,Tornado,05/27/1955,05/27/1955,04/01/1957,Yes,No,Yes,Yes
DR-35,Disaster,06/01/1955,OK,,Flood,Flood and Tornado,06/01/1955,06/01/1955,12/01/1959,Yes,No,Yes,Yes
DR-36,Disaster,06/21/1955,NV,,Flood,Flood,06/21/1955,06/21/1955,10/01/1957,Yes,No,Yes,Yes
DR-37,Disaster,08/13/1955,NC,,Hurricane,Hurricanes,08/13/1955,08/13/1955,02/10/1961,Yes,No,Yes,Yes
DR-38,Disaster,08/15/1955,NM,,Flood,Flood,08/15/1955,08/15/1955,06/01/1959,Yes,No,Yes,Yes
DR-39,Disaster,08/20/1955,RI,,Hurricane,Hurricane and Flood,08/20/1955,08/20/1955,04/01/1961,Yes,No,Yes,Yes
DR-40,Disaster,08/20/1955,PA,,Flood,Floods and Rains,08/20/1955,08/20/1955,01/01/1962,Yes,No,Yes,Yes
DR-41,Disaster,08/20/1955,NJ,,Hurricane,Hurricane and Floods,08/20/1955,08/20/1955,02/01/1957,Yes,No,Yes,Yes
DR-42,Disaster,08/20/1955,CT,,Hurricane,"Hurricane, Torrential Rain, and Floods",08/20/1955,08/20/1955,11/20/1962,Yes,No,Yes,Yes
DR-43,Disaster,08/20/1955,MA,,Hurricane,Hurricane and Floods,08/20/1955,08/20/1955,03/20/1962,Yes,No,Yes,Yes
DR-44,Disaster,08/20/1955,SC,,Hurricane,Hurricanes,08/20/1955,08/20/1955,01/01/1959,Yes,No,Yes,Yes
DR-45,Disaster,08/22/1955,NY,,Hurricane,Hurricane and Floods,08/22/1955,08/22/1955,02/01/1957,Yes,No,Yes,Yes
DR-46,Disaster,12/22/1955,AK,,Other,Severe Hardship,12/22/1955,12/22/1955,12/01/1956,Yes,No,Yes,Yes
DR-47,Disaster,12/23/1955,CA,,Flood,Flood,12/23/1955,12/23/1955,08/12/1968,Yes,No,Yes,Yes
DR-48,Disaster,12/24/1955,NV,,Flood,Flood,12/24/1955,12/24/1955,09/01/1961,Yes,No,Yes,Yes
DR-49,Disaster,12/29/1955,OR,,Flood,Flood,12/29/1955,12/29/1955,10/01/1960,Yes,No,Yes,Yes
DR-50,Disaster,02/25/1956,WA,,Flood,Flood,02/25/1956,02/25/1956,07/01/1961,Yes,No,Yes,Yes
DR-51,Disaster,03/15/1956,PA,,Flood,Flood,03/15/1956,03/15/1956,06/01/1959,Yes,No,Yes,Yes
DR-52,Disaster,03/29/1956,NY,,Flood,Flood,03/29/1956,03/29/1956,03/01/1957,Yes,No,Yes,Yes
DR-53,Disaster,04/05/1956,MI,,Tornado,Tornado,04/05/1956,04/05/1956,04/30/1956,Yes,No,Yes,Yes
DR-54,Disaster,04/07/1956,OK,,Tornado,Tornadoes,04/07/1956,04/07/1956,06/01/1959,Yes,No,Yes,Yes
DR-55,Disaster,04/21/1956,ID,,Flood,Floods,04/21/1956,04/21/1956,04/01/1961,Yes,No,Yes,Yes
DR-56,Disaster,04/24/1956,NC,,Storm,Severe Storm,04/24/1956,04/24/1956,09/01/1957,Yes,No,Yes,Yes
DR-57,Disaster,05/17/1956,OH,,Other,Wind Storm,05/17/1956,05/17/1956,06/01/1959,Yes,No,Yes,Yes
DR-58,Disaster,05/21/1956,PA,,Storm,Severe Storm,05/21/1956,05/21/1956,06/01/1959,Yes,No,Yes,Yes
DR-59,Disaster,06/12/1956,CO,,Flood,Flood,06/12/1956,06/12/1956,04/01/1959,Yes,No,Yes,Yes
DR-60,Disaster,07/20/1956,OR,,Flood,Storm and Flood,07/20/1956,07/20/1956,11/01/1959,Yes,No,Yes,Yes
DR-61,Disaster,08/09/1956,PA,,Storm,Storm,08/09/1956,08/09/1956,06/01/1959,Yes,No,Yes,Yes
DR-62,Disaster,08/18/1956,PR,,Hurricane,Hurricane,08/18/1956,08/18/1956,08/01/1959,Yes,No,Yes,Yes
DR-63,Disaster,08/31/1956,NV,,Flood,Flood,08/31/1956,08/31/1956,09/05/1956,Yes,No,Yes,Yes
DR-64,Disaster,10/04/1956,LA,,Hurricane,Hurricane,10/04/1956,10/04/1956,03/01/1960,Yes,No,Yes,Yes
DR-65,Disaster,12/29/1956,CA,,Fire,Forest Fire,12/29/1956,12/29/1956,04/01/1959,Yes,No,Yes,Yes
DR-66,Disaster,01/31/1957,KY,,Flood,Flood,01/31/1957,01/31/1957,08/01/1959,Yes,No,Yes,Yes
DR-67,Disaster,01/31/1957,WV,,Flood,Flood,01/31/1957,01/31/1957,10/01/1959,Yes,No,Yes,Yes
DR-68,Disaster,02/01/1957,VA,,Flood,Floods,02/01/1957,02/01/1957,03/01/1958,Yes,No,Yes,Yes
DR-69,Disaster,03/01/1957,OR,,Flood,Flood,03/01/1957,03/01/1957,06/01/1960,Yes,No,Yes,Yes
DR-70,Disaster,03/06/1957,WA,,Flood,Floods,03/06/1957,03/06/1957,01/01/1961,Yes,No,Yes,Yes
